year,stalpbr,loans,re_loans,agloans,agloans_re,loans_year,re_loans_year,agloans_year,agloans_re_year,loans_d,loans_d_alt,re_loans_d,re_loans_d_alt,agloans_d,agloans_d_alt,agloans_re_d,agloans_re_d_alt,loans_d_year,loans_d_alt_year,re_loans_d_year,re_loans_d_alt_year,agloans_d_year,agloans_d_alt_year,agloans_re_d_year,agloans_re_d_alt_year,total_branches,total_ag_branches,total_ag_branch_deposits
1994,OR,24834391452.69438,12992808762.361334,505936536.27982944,81874354.57081424,25136750507.87133,13055432170.679222,496512507.84850484,82140373.1558391,153690656.5824594,153690656.5824594,99262848.31349772,99262848.31349772,9777736.794938678,9777736.794938678,3721615.2895000004,3721615.2895000004,174667095.2329749,174667095.2329749,107138249.13650122,107138249.13650122,9156976.809681565,9156976.809681565,2341057.6447500023,2341057.6447500023,886,14,1019176000
1994,PA,138780410836.67334,73982941557.07788,255711521.90740415,617335238.9093652,141315842514.62265,75735236688.06908,261579376.48862013,621978606.2482536,2067042447.901825,2067042447.901825,1355469884.8070908,1355469884.8070908,2481999.999999999,2481999.999999999,11158665.798924431,11158665.798924431,2033790473.6638618,2033790473.6638618,1323524007.6398983,1323524007.6398983,2146000.000000001,2146000.000000001,15945776.476046849,15945776.476046849,4473,0,0
1994,PR,22830929001.82527,9094603200.545872,158147571.9765561,78791622.96789089,23213773381.421024,9197491048.500498,156491840.7403973,73280732.18846194,687303553.0958066,687303553.0958066,412365669.50710124,412365669.50710124,4933457.3265541885,4933457.3265541885,4617418.904810569,4617418.904810569,689994329.5276108,689994329.5276108,399603952.9313575,399603952.9313575,3636653.061723748,3636653.061723748,3642806.7312974334,3642806.7312974334,435,0,0
1994,PW,59216101.121629,26271703.204997666,270119.49814116606,45225.47479420366,59719005.00470785,26728682.62775446,255022.73660116937,44526.31424935667,404160.57084182464,404160.57084182464,156349.5887412293,156349.5887412293,66946.5861032141,66946.5861032141,573.4687615037116,573.4687615037116,496092.66800750967,496092.66800750967,249900.792753701,249900.792753701,66868.02873862456,66868.02873862456,3004.8191955502693,3004.8191955502693,2,0,0
1994,RI,13234256812.39318,7402482021.119017,717592.7030204743,1631785.2951513908,13423916697.47233,7549319039.355108,611184.0083046317,1613263.467738326,354446141.527666,354446141.527666,256726299.83033505,256726299.83033505,5655.483195398847,5655.483195398847,18319.898556035587,18319.898556035587,342500775.73380274,342500775.73380274,242569202.51543477,242569202.51543477,31635.026408355694,31635.026408355694,99877.3140895155,99877.3140895155,264,0,0
1994,SC,24449492346.40535,16527720614.434376,105429999.99999996,84401000.00000012,24816312671.315674,16762065807.192583,88051250,81952583.33333328,285581567.6918862,285581567.6918862,226687259.5697157,226687259.5697157,1057999.9999999993,1057999.9999999993,2798000.0000000014,2798000.0000000014,271252538.66289294,271252538.66289294,212300207.7888456,212300207.7888456,905499.9999999998,905499.9999999998,2785000.000000001,2785000.000000001,1228,1,29012000
1994,SD,16280336244.92895,2366683773.0793962,1529899000,331698000.0000002,17272398237.721203,2397832150.216981,1492696749.9999998,329168749.9999999,240414494.41703525,240414494.41703525,27051546.130498644,27051546.130498644,22614000.000000007,22614000.000000007,6524999.999999999,6524999.999999999,264557282.6201089,264557282.6201089,26724729.564162035,26724729.564162035,21680750,21680750,5878750.000000001,5878750.000000001,380,204,13139741000
1994,TN,39149568014.5707,22362862341.992996,367634441.5522248,451120022.2927563,39501560117.55151,22462992110.04181,348352715.5104086,454768650.1326233,318770898.3231827,318770898.3231827,215092829.90034813,215092829.90034813,936000.0000000002,936000.0000000002,4119000.0000000005,4119000.0000000005,315420387.2569625,315420387.2569625,208376035.46879384,208376035.46879384,1126499.9980811435,1126499.9980811435,3923999.994883056,3923999.994883056,1794,18,903863000
1994,TX,112875468890.54916,58830830708.33171,2967640961.7191887,1013332184.4928683,119399319729.42639,63186612668.503815,3010277095.568513,1022993923.6465317,1200096525.742794,1200096525.742794,800723515.4280657,800723515.4280657,40593991.006514534,40593991.006514534,32265999.3673344,32265999.3673344,1219627975.9416585,1219627975.9416585,816734352.9969974,816734352.9969974,42903320.80669301,42903320.80669301,32144051.00713909,32144051.00713909,3833,369,18932375000
1994,UT,10820168294.259308,5236425431.520621,169471999.99999988,47540000.00000001,10927816781.387743,5253126174.995602,169894250.00000003,46644749.99999999,59283306.092118055,59283306.092118055,23934476.78224511,23934476.78224511,2840000.000000001,2840000.000000001,3485999.999999998,3485999.999999998,66648262.55120247,66648262.55120247,26326021.997954953,26326021.997954953,2981500.0000000014,2981500.0000000014,3365000.000000001,3365000.000000001,468,5,118773000
